Booking ID,Booking Date,Booking Time,Customer ID,Driver ID,Vehicle Type,Pickup Location,Drop Location,Ride Distance (km),Booking Status,Cancellation Reason,Payment Method,Booking Value (INR),Driver Rating,Customer Rating,Ride Duration (min)
OLA100359,2024-05-20,21:19:00,CUST1107,DRV376,Mini,MALLESHWARAM,ELECTRONIC CITY,9.3,Success,,UPI,122.13,4.7,4.8,22.0
OLA100565,2024-03-28,20:10:00,CUST1052,DRV311, Mini ,BTM Layout,jayanagar,5.4,Success,,Ola Money,98.25,,,19.4
OLA100118,2024-01-24,16:32:00,CUST1196,DRV436,SUV,Indiranagar,Airport (KIA),10.7,Success,,Cash,234.87,3.5,5.0,36.7
OLA101213,2024-05-20,05:12:00,CUST1301,DRV218,Mini,Sarjapur Road,AIRPORT (KIA),5.1,Success,,Ola Money,71.31,,,15.9
OLA101352,2024-04-25,14:10:00,CUST1013,DRV249,prime,Sarjapur Road,koramangala,5.6,Success,,UPI,147.02,4.2,4.4,14.8
OLA101485,2024-04-28,12:07:00,CUST1022,DRV484,Mini,MG Road,JP NAGAR,16.2,Success,,Cash,196.88,4.8,4.0,39.6
OLA100627,2024-04-09,13:36:00,CUST1307,DRV416,Mini,RAJAJINAGAR,Banashankari,11.2,Success,,UPI,156.62,4.7,5.0,30.3
OLA101282,2024-04-29,17:23:00,CUST1104,DRV437,Mini,indiranagar,marathahalli,9.5,Cancelled by Driver,Vehicle breakdown,,0.0,,,0.0
OLA101101,2024-01-25,17:18:00,CUST1314,DRV253,Mini,marathahalli,HSR Layout,16.4,Success,,Cash,217.3,5.0,4.3,40.0
OLA100210,2024-03-10,06:05:00,CUST1095,DRV420,Sedan,jp nagar,Malleshwaram,2.6,Success,,cash,63.64,4.7,4.8,9.4
OLA100432,2024-03-31,20:35:00,CUST1166,DRV390,sedan,Rajajinagar,Yelahanka,16.4,Success,,Ola Money,262.85,4.6,4.9,53.5
OLA100853,2024-02-20,06:42:00,CUST1296,DRV515, Mini ,Yelahanka,KORAMANGALA,8.4,Success,,upi,111.92,5.0,4.3,32.3
OLA100293,2024-06-01,08:58:00,CUST1372,DRV234,Mini,JP NAGAR,Bellandur,8.5,Cancelled by Customer,Price too high,,0.0,,,0.0
OLA100637,2024-01-27,16:45:00,CUST1221,DRV412,bike,sarjapur road,JP Nagar,6.5,Success,,credit card,83.97,4.2,3.9,21.6
OLA100998,2024-03-13,19:55:00,CUST1218,DRV499,Auto,BANASHANKARI,Rajajinagar,3.0,Success,,Cash,67.03,5.0,5.0,9.9
OLA100632,2024-02-17,06:38:00,CUST1132,DRV254,Sedan,koramangala,Indiranagar,11.1,Success,,Cash,182.25,4.3,4.9,29.3
OLA100981,2024-06-05,09:38:00,CUST1276,DRV210,Prime,KORAMANGALA,Rajajinagar,25.4,Success,,Cash,525.71,3.0,4.8,56.1
OLA100596,2024-03-20,12:35:00,CUST1223,DRV416,Auto,Indiranagar,BTM Layout,6.0,Success,,CREDIT CARD,67.78,4.1,4.9,23.5
OLA101262,2024-06-24,12:02:00,CUST1338,DRV490,mini,mg road,Banashankari,7.0,Success,,UPI,121.31,4.9,4.0,22.6
OLA100887,2024-03-23,18:30:00,CUST1115,DRV247,Mini,Hebbal, Whitefield ,17.9,Cancelled by Customer,Driver taking too long,,0.0,,,0.0
OLA101380,2024-04-11,18:51:00,CUST1072,DRV252,MINI, Domlur ,KR Puram,1.5,Success,,Credit Card,47.29,2.6,5.0,8.4
OLA100673,2024-04-18,21:35:00,CUST1231,DRV221,Mini,KR Puram,Hebbal,8.6,Success,,UPI,129.19,3.9,4.8,34.9
OLA101060,2024-06-26,07:38:00,CUST1149,DRV396,Mini,BTM Layout,koramangala,13.3,Success,,UPI,186.83,4.5,4.3,41.8
OLA101034,2024-04-03,04:38:00,CUST1351,DRV389,Mini,yelahanka,Hebbal,15.6,Success,,Cash,209.61,5.0,4.7,46.8
OLA101204,2024-05-04,22:38:00,CUST1274,DRV302,Bike,Jayanagar,MG Road,5.9,Success,,CASH,59.27,3.9,4.9,16.8
OLA101398,2024-06-12,21:15:00,CUST1075,DRV369,suv,hebbal,Koramangala,9.0,Cancelled by Driver,Traffic/road closure,,0.0,,,0.0
OLA100858,2024-03-13,17:59:00,CUST1438,DRV250,Prime,MG Road,Whitefield,4.7,Success,,DEBIT CARD,128.49,,,16.8
OLA100052,2024-04-11,21:12:00,CUST1038,DRV503,Auto,btm layout,MG Road,10.5,Success,,Debit Card,119.92,4.2,4.0,29.7
OLA100223,2024-06-30,07:54:00,CUST1175,DRV255,auto,HSR Layout,MARATHAHALLI,8.4,Success,,CASH,97.68,4.9,4.6,26.8
OLA101166,2024-04-09,23:56:00,CUST1082,DRV388,Auto, Rajajinagar ,Hebbal,7.8,Success,,UPI,81.72,4.5,4.3,22.0
OLA100048,2024-04-28,07:16:00,CUST1194,DRV367,mini,yelahanka,Banashankari,10.0,Success,,upi,147.84,4.5,4.0,28.0
OLA101059,2024-02-26,19:36:00,CUST1185,DRV349,Sedan,HSR LAYOUT,Domlur,4.0,Success,,Debit Card,90.02,4.8,3.9,13.7
OLA100837,2024-05-18,06:13:00,CUST1305,DRV205,auto,hebbal,Jayanagar,5.6,Success,,Wallet,76.35,3.9,4.7,21.8
OLA100300,2024-04-26,04:23:00,CUST1360,DRV301,Mini,KR Puram,JP Nagar,2.9,Cancelled by Driver,Vehicle breakdown,,0.0,,,0.0
OLA100488,2024-05-22,16:50:00,CUST1154,DRV472,Sedan,Sarjapur Road,Rajajinagar,3.2,Success,,UPI,66.96,4.5,4.3,14.4
OLA100213,2024-01-20,10:15:00,CUST1369,DRV520,Sedan,DOMLUR,jayanagar,3.2,Success,,Ola Money,73.54,4.5,3.8,15.0
OLA101080,2024-05-26,08:05:00,CUST1224,DRV325,sedan,JP Nagar,MARATHAHALLI,5.4,Cancelled by Customer,Wrong pickup location,,0.0,,,0.0
OLA100396,2024-03-29,11:43:00,CUST1397,DRV289,Sedan,MG Road,JP NAGAR,8.7,Success,,Cash,150.6,4.2,4.0,32.0
OLA100656,2024-05-28,15:57:00,CUST1321,DRV473,BIKE,BTM LAYOUT,Bellandur,3.4,Success,,UPI,44.38,5.0,4.4,12.4
OLA100439,2024-04-10,22:48:00,,DRV494,SUV,BTM Layout,KR Puram,6.8,Success,, Cash ,146.09,3.5,4.4,23.0
OLA100150,2024-04-20,13:55:00,CUST1028,DRV263, SUV ,hebbal,HSR Layout,7.3,Cancelled by Driver,Customer not reachable,,0.0,,,0.0
OLA101430,2024-01-10,17:28:00,CUST1046,DRV382,bike, BTM Layout ,Sarjapur Road,5.1,Success,,Credit Card,57.65,3.3,4.7,21.4
OLA101400,2024-03-16,18:49:00,CUST1220,DRV406,SUV,indiranagar,KR Puram,13.5,Success,,credit card,276.67,4.0,4.6,34.3
OLA100391,2024-06-22,17:51:00,CUST1161,DRV411,Prime,Malleshwaram,Sarjapur Road,9.2,Cancelled by Customer,Driver taking too long,,0.0,,,0.0
OLA100966,2024-02-29,09:21:00,CUST1024,DRV488,SUV,Malleshwaram,Domlur,9.6,Cancelled by Driver,Too far from pickup,,0.0,,,0.0
OLA100578,2024-02-01,08:27:00,CUST1371,DRV455,Mini,Sarjapur Road,Domlur,1.7,Cancelled by Customer,Wrong pickup location,,0.0,,,0.0
OLA100977,2024-02-26,07:56:00,CUST1386,DRV347,Sedan,KR PURAM, Yelahanka ,2.6,Success,,Credit Card,58.82,3.8,4.2,15.4
OLA101007,2024-01-08,19:59:00,CUST1241,DRV511,Auto,AIRPORT (KIA),HSR Layout,14.1,Cancelled by Customer,Price too high,,0.0,,,0.0
OLA100904,2024-01-03,13:43:00,CUST1075,DRV438,auto,Malleshwaram, Hebbal ,6.3,Success,,Debit Card,84.11,4.6,4.3,20.7
OLA101488,2024-02-28,09:03:00,CUST1416,DRV347,Sedan,Malleshwaram,Marathahalli,3.7,Success,,UPI,81.56,4.2,4.4,12.1
OLA100200,2024-05-03,17:01:00,CUST1003,DRV472,SUV,Koramangala,Indiranagar,5.1,Success,,Debit Card,122.68,,,11.8
OLA100109,2024-03-10,08:32:00,CUST1058,DRV376,Sedan,Hebbal,domlur,8.3,Success,,Cash,145.8,5.0,3.7,31.1
OLA100309,2024-05-22,07:06:00,CUST1241,DRV265, Auto ,JP NAGAR,HSR Layout,10.3,Cancelled by Driver,Vehicle breakdown,,0.0,,,0.0
OLA101125,2024-04-07,08:54:00,CUST1362,,Sedan,KR Puram,banashankari,4.3,Driver Not Found,No drivers available in area,,0.0,,,0.0
OLA100696,2024-01-11,13:58:00,CUST1001,DRV314,Auto,KR Puram, Jayanagar ,9.0,Success,,debit card,94.17,,,21.2
OLA100209,2024-03-04,17:05:00,CUST1137,DRV278,Sedan,Electronic City,Rajajinagar,3.7,Success,,UPI,76.3,4.0,4.6,16.1
OLA100438,2024-01-03,16:40:00,CUST1195,DRV227,Sedan,Indiranagar,Banashankari,5.5,Success,,UPI,108.2,4.7,5.0,16.5
OLA100237,2024-04-13,13:17:00,CUST1355,DRV388,sedan,Airport (KIA), Yelahanka ,5.1,Cancelled by Customer,Wrong pickup location,,0.0,,,0.0
OLA100871,2024-05-03,23:38:00,CUST1279,DRV202,MINI,Marathahalli,MG ROAD,9.4,Success,,UPI,124.19,4.4,4.5,35.9
OLA100562,2024-02-07,09:56:00,CUST1354,DRV269,Sedan,Indiranagar,Hebbal,11.1,Success,,UPI,181.23,5.0,4.3,23.5
OLA100493,2024-04-21,17:58:00,CUST1176,DRV245,SUV,Domlur,malleshwaram,6.5,Success,,CASH,144.13,3.4,4.6,21.8
OLA101211,2024-04-24,07:48:00,CUST1444,DRV333,Mini,INDIRANAGAR,Sarjapur Road,11.6,Success,,UPI,143.33,4.6,4.0,29.9
OLA101032,2024-03-26,19:23:00,CUST1057,DRV291,PRIME,JP Nagar,Bellandur,0.9,Success,,credit card,59.11,5.0,4.3,10.7
OLA100743,2024-03-30,13:31:00,CUST1325,DRV388,Auto,BELLANDUR,KR Puram,4.7,Success,,Credit Card,74.67,4.3,4.1,22.1
OLA100842,2024-04-20,03:45:00,CUST1396,DRV398,mini,Domlur,Whitefield,11.1,Success,,UPI,165.84,3.3,3.9,23.4
OLA100331,2024-01-20,18:20:00,CUST1123,DRV369,Prime,Indiranagar,JP Nagar,6.3,Success,,Cash,147.68,3.5,4.3,19.4
OLA101238,2024-01-25,12:47:00,CUST1172,DRV323,SUV,AIRPORT (KIA),Indiranagar,4.5,Success,,CREDIT CARD,105.69,4.8,4.2,14.4
OLA100990,2024-05-06,08:19:00,CUST1379,DRV372,Bike,indiranagar,Banashankari,5.8,Success,,UPI,70.47,3.7,4.0,15.1
OLA101392,2024-04-21,15:31:00,CUST1320,,SEDAN,JP NAGAR,Electronic City,13.9,Driver Not Found,No drivers available in area,,0.0,,,0.0
OLA100447,2024-04-08,08:24:00,CUST1260,DRV250,BIKE, Airport (KIA) ,Sarjapur Road,5.3,Success,,Credit Card,49.44,3.8,4.5,15.4
OLA100105,2024-05-22,10:48:00,CUST1142,DRV493,Mini,RAJAJINAGAR,SARJAPUR ROAD,2.2,Cancelled by Customer,Price too high,,0.0,,,0.0
OLA101356,2024-06-22,14:57:00,CUST1302,DRV499,Prime,KR Puram,HSR Layout,2.6,Success,,cash,91.86,3.8,4.5,9.0
OLA101378,2024-03-11,09:08:00,CUST1238,DRV512, Bike , Indiranagar ,Banashankari,7.6,Success,,UPI,61.73,4.8,3.7,31.4
OLA100140,2024-03-09,18:46:00,CUST1217,DRV240,Sedan,HSR Layout,Sarjapur Road,5.0,Success,,Cash,93.81,3.7,4.7,17.1
OLA101316,2024-04-09,14:21:00,CUST1090,DRV479,Auto,koramangala,KR Puram,7.1,Success,,UPI,74.19,3.2,3.3,15.8
OLA100787,2024-03-14,09:27:00,CUST1266,DRV317,Sedan, Whitefield ,Yelahanka,6.8,Success,,credit card,122.4,4.5,4.8,23.7
OLA101450,2024-06-12,08:41:00,CUST1449,DRV318,Mini,BTM Layout,Electronic City,2.4,Cancelled by Customer,Change of plans,,0.0,,,0.0
OLA100833,2024-02-09,05:41:00,CUST1016,DRV509,Auto,malleshwaram,HSR LAYOUT,8.5,Cancelled by Customer,Wrong pickup location,,0.0,,,0.0
OLA100940,2024-06-27,14:06:00,CUST1027,DRV377,Bike,Domlur,Airport (KIA),10.0,Success,,UPI,83.39,4.1,4.7,38.0
OLA100087,2024-03-05,17:46:00,CUST1392,DRV270,Auto,Indiranagar,Yelahanka,7.2,Success,,Ola Money,96.26,3.9,4.8,21.5
OLA100236,2024-06-22,11:09:00,CUST1295,DRV337,Auto,Bellandur,Airport (KIA),3.7,Cancelled by Customer,Change of plans,,0.0,,,0.0
OLA101361,2024-01-12,12:54:00,CUST1429,DRV305,mini,btm layout,WHITEFIELD,3.9,Success,,Cash,73.44,3.6,5.0,18.6
OLA100400,2024-05-12,14:20:00,CUST1402,DRV449,Sedan,jp nagar,Domlur,6.3,Success,,UPI,104.63,3.9,4.3,21.9
OLA100035,2024-05-10,07:57:00,CUST1295,DRV297,Mini,Rajajinagar,Koramangala,5.3,Cancelled by Customer,Wrong pickup location,,0.0,,,0.0
OLA101093,2024-01-02,11:26:00,CUST1204,DRV251,sedan,Hebbal,Whitefield,12.3,Cancelled by Customer,Booked by mistake,,0.0,,,0.0
OLA100967,2024-03-23,11:48:00,CUST1091,DRV273,Mini,JAYANAGAR,KR PURAM,5.9,Success,, UPI ,95.47,3.7,5.0,15.9
OLA100384,2024-06-11,00:05:00,CUST1421,DRV274,Sedan,Domlur,Rajajinagar,15.4,Success,,Credit Card,233.24,4.6,4.4,45.5
OLA101124,2024-01-23,09:39:00,CUST1275,DRV316,Sedan,Hebbal,MG Road,3.1,Success,,Credit Card,85.83,,,13.6
OLA100994,2024-06-22,08:20:00,CUST1314,DRV390,SUV,HSR Layout, Electronic City ,14.8,Success,,upi,290.11,4.6,4.1,38.1
OLA100047,2024-04-13,17:53:00,CUST1239,DRV265,Prime,JP Nagar,Koramangala,3.8,Success,,Cash,118.21,4.4,4.5,10.9
OLA100510,2024-01-03,17:53:00,CUST1034,DRV206,Sedan,malleshwaram,MG Road,,Success,,UPI,99.96,5.0,4.2,13.3
OLA100788,2024-01-24,07:03:00,CUST1043,DRV346,SUV,Airport (KIA),Koramangala,7.3,Success,,Cash,175.26,3.7,4.6,23.8
OLA100821,2024-04-16,07:58:00,CUST1114,DRV212,Mini,Bellandur,Electronic City,5.7,Success,,Credit Card,88.3,4.0,4.9,17.2
OLA101192,2024-04-01,18:30:00,CUST1189,DRV455,Sedan, Airport (KIA) ,Yelahanka,15.2,Success,,Credit Card,244.18,4.5,5.0,46.1
OLA100657,2024-04-06,13:15:00,CUST1053,DRV367,SUV,JAYANAGAR,Bellandur,8.6,Success,,UPI,183.43,5.0,4.4,26.0
OLA101236,2024-06-28,13:51:00,CUST1196,DRV475,Auto,rajajinagar,Domlur,8.3,Success,,UPI,100.01,4.0,3.5,20.7
OLA100997,2024-06-08,12:10:00,CUST1034,DRV379,AUTO,btm layout, Bellandur ,5.5,Cancelled by Driver,Too far from pickup,,0.0,,,0.0
OLA100916,2024-03-01,19:34:00,CUST1133,DRV513, Auto ,Domlur,MG Road,3.7,Success,,CREDIT CARD,57.57,5.0,4.3,17.7
OLA100347,2024-05-22,08:10:00,CUST1299,DRV330,Mini, KR Puram ,Electronic City,5.1,Cancelled by Driver,Traffic/road closure,,0.0,,,0.0
OLA100963,2024-01-31,10:52:00,CUST1172,DRV502,SUV,MG Road,INDIRANAGAR,3.0,Cancelled by Driver,Personal emergency,,0.0,,,0.0
OLA100965,2024-02-08,20:37:00,CUST1303,DRV389,auto,KR Puram,BELLANDUR,7.4,Success,,debit card,83.81,3.8,5.0,19.5
OLA100301,2024-03-02,10:38:00,CUST1228,DRV290,PRIME,AIRPORT (KIA),Domlur,3.1,Success,, Debit Card ,93.54,4.3,5.0,9.8
OLA100950,2024-01-13,08:41:00,CUST1019,DRV294,auto,kr puram, Domlur ,3.6,Success,,wallet,53.32,,,17.9
OLA100254,2024-05-14,05:45:00,CUST1295,DRV239,Sedan,MALLESHWARAM,Banashankari,2.4,Cancelled by Customer,Driver taking too long,,0.0,,,0.0
OLA100270,2024-03-11,09:56:00,CUST1076,DRV217,SUV,Domlur,BTM Layout,3.4,Success,,UPI,95.62,4.0,4.9,11.6
OLA100812,2024-01-11,16:56:00,CUST1142,DRV268, Mini , Indiranagar ,marathahalli,5.4,Success,,Credit Card,104.09,5.0,4.4,22.4
OLA101038,2024-01-21,10:40:00,CUST1383,DRV354,Sedan,koramangala,Jayanagar,,Success,,DEBIT CARD,106.51,4.2,3.6,17.2
OLA100579,2024-04-12,10:42:00,CUST1308,DRV407,prime,Malleshwaram, Marathahalli ,4.2,Success,,UPI,103.42,4.2,4.2,17.7
OLA101411,2024-04-22,12:18:00,CUST1200,DRV283,Mini,KR PURAM,electronic city,6.5,Success,,UPI,108.28,4.4,3.9,19.2
