Booking ID,Booking Date,Booking Time,Customer ID,Driver ID,Vehicle Type,Pickup Location,Drop Location,Ride Distance (km),Booking Status,Cancellation Reason,Payment Method,Booking Value (INR),Driver Rating,Customer Rating,Ride Duration (min),Booking Day,Booking Month,Booking Week,Is Weekend,Booking Hour,Is Cancelled,Revenue per KM,Validation Flag
OLA100001,2024-06-12,06:47:00,CUST1140,DRV325,Mini,MG Road,Sarjapur Road,8.2,Success,Not Applicable,Cash,107.81,4.2,3.8,30.0,Wednesday,June,24,No,6,No,13.15,OK
OLA100002,2024-01-07,15:45:00,CUST1332,DRV479,Sedan,KR Puram,Domlur,7.3,Cancelled by Customer,Driver taking too long,Not Applicable,0.0,,,0.0,Sunday,January,1,Yes,15,Yes,0.0,OK
OLA100003,2024-06-27,12:17:00,CUST1079,DRV310,Prime,Yelahanka,MG Road,14.7,Success,Not Applicable,Debit Card,311.78,4.8,4.1,35.2,Thursday,June,26,No,12,No,21.21,OK
OLA100004,2024-04-27,14:59:00,CUST1193,DRV240,SUV,Domlur,Banashankari,4.3,Success,Not Applicable,UPI,109.72,4.4,3.4,17.2,Saturday,April,17,Yes,14,No,25.52,OK
OLA100005,2024-01-21,19:55:00,CUST1051,DRV394,Mini,Banashankari,HSR Layout,1.8,Success,Not Applicable,Credit Card,45.91,4.0,4.2,12.6,Sunday,January,3,Yes,19,No,25.51,OK
OLA100006,2024-06-04,16:34:00,CUST1373,DRV325,Mini,Bellandur,Marathahalli,3.7,Success,Not Applicable,Ola Money,85.39,5.0,4.3,14.7,Tuesday,June,23,No,16,No,23.08,OK
OLA100007,2024-01-15,08:02:00,CUST1412,DRV361,Sedan,Whitefield,BTM Layout,6.3,Success,Not Applicable,Cash,130.59,3.4,4.5,16.8,Monday,January,3,No,8,No,20.73,OK
OLA100008,2024-06-13,12:16:00,CUST1071,DRV326,Auto,JP Nagar,Marathahalli,4.3,Success,Not Applicable,Wallet,71.81,3.9,4.3,14.0,Thursday,June,24,No,12,No,16.7,OK
OLA100009,2024-02-05,13:05:00,CUST1386,DRV224,Bike,Electronic City,Jayanagar,4.0,Success,Not Applicable,Wallet,62.76,5.0,4.1,17.0,Monday,February,6,No,13,No,15.69,OK
OLA100010,2024-05-15,08:35:00,CUST1440,DRV205,Auto,MG Road,Sarjapur Road,6.0,Success,Not Applicable,UPI,85.53,4.8,3.8,19.6,Wednesday,May,20,No,8,No,14.26,OK
OLA100011,2024-01-01,21:56:00,CUST1368,DRV334,Prime,HSR Layout,JP Nagar,6.9,Cancelled by Customer,Booked by mistake,Not Applicable,0.0,,,0.0,Monday,January,1,No,21,Yes,0.0,OK
OLA100012,2024-06-12,13:12:00,CUST1078,DRV391,Auto,JP Nagar,Malleshwaram,1.5,Success,Not Applicable,UPI,54.55,4.7,4.5,6.3,Wednesday,June,24,No,13,No,36.37,OK
OLA100013,2024-03-19,08:15:00,CUST1449,Not Assigned,Bike,Whitefield,Malleshwaram,5.6,Driver Not Found,No drivers available in area,Not Applicable,0.0,,,0.0,Tuesday,March,12,No,8,Yes,0.0,OK
OLA100014,2024-05-16,18:08:00,CUST1337,DRV443,Bike,HSR Layout,Hebbal,5.0,Success,Not Applicable,Debit Card,60.83,4.0,4.9,17.1,Thursday,May,20,No,18,No,12.17,OK
OLA100015,2024-06-25,08:19:00,CUST1204,DRV391,Sedan,Malleshwaram,KR Puram,7.5,Success,Not Applicable,UPI,123.63,,,25.3,Tuesday,June,26,No,8,No,16.48,OK
OLA100016,2024-02-26,00:45:00,CUST1323,DRV230,Mini,Indiranagar,Banashankari,10.2,Success,Not Applicable,UPI,129.33,3.8,4.2,25.6,Monday,February,9,No,0,No,12.68,OK
OLA100017,2024-05-26,15:15:00,CUST1401,DRV442,Bike,Jayanagar,MG Road,7.4,Success,Not Applicable,Credit Card,62.31,4.9,4.3,23.4,Sunday,May,21,Yes,15,No,8.42,OK
OLA100018,2024-06-21,17:41:00,CUST1050,DRV231,Sedan,Yelahanka,MG Road,4.6,Success,Not Applicable,UPI,86.86,4.8,5.0,15.9,Friday,June,25,No,17,No,18.88,OK
OLA100019,2024-03-04,19:04:00,CUST1226,DRV481,Mini,JP Nagar,Koramangala,5.8,Cancelled by Driver,Customer not reachable,Not Applicable,0.0,,,0.0,Monday,March,10,No,19,Yes,0.0,OK
OLA100020,2024-02-12,11:30:00,CUST1109,DRV405,Bike,HSR Layout,Rajajinagar,10.9,Success,Not Applicable,UPI,80.46,4.5,5.0,27.8,Monday,February,7,No,11,No,7.38,OK
